instruction,input,output,text
행정소송에 대해 알려줘,,"행정소송은 행정청의 위법한 처분이나 공권력 행사로 인한 국민의 권리나 이익 침해를 규제하는 소송 절차입니다. 이를 구분하는데에는 사건 구분과 종류가 있습니다. 주로 취소소송, 무효등확인소송, 부작위위법확인소송 등이 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
행정소송에 대해 알려줘
### Response:
행정소송은 행정청의 위법한 처분이나 공권력 행사로 인한 국민의 권리나 이익 침해를 규제하는 소송 절차입니다. 이를 구분하는데에는 사건 구분과 종류가 있습니다. 주로 취소소송, 무효등확인소송, 부작위위법확인소송 등이 있습니다."
행정소송에 사건구분이 어떻게 되는지 알려줘,,"행정소송에서 사건구분은 구단?구합(1심), 누(항소심), 두(상고심)로 나뉩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
행정소송에 사건구분이 어떻게 되는지 알려줘
### Response:
행정소송에서 사건구분은 구단?구합(1심), 누(항소심), 두(상고심)로 나뉩니다."
행정소송에 종류를 알려줘,,"행정소송에 종류에는 취소소송,무효등확인소송,부작위위법확인소송이 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
행정소송에 종류를 알려줘
### Response:
행정소송에 종류에는 취소소송,무효등확인소송,부작위위법확인소송이 있습니다."
취소소송에 대해 알려줘,,"취소소송은 행정청의 위법한 처분 등의 취소를 구하는 소송입니다 예시로는 영업정지처분취소, 이행강제금부과처분취소 등이 있습니다. ","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
취소소송에 대해 알려줘
### Response:
취소소송은 행정청의 위법한 처분 등의 취소를 구하는 소송입니다 예시로는 영업정지처분취소, 이행강제금부과처분취소 등이 있습니다. "
무효둥확인소송에 대해 알려줘,,"무효등확인소송은 행정청의 처분 등의 효력유무와 존재여부를 확인 하는 소송입니다 예시로는 토지소유권부존재확인, 재개발사업인가무효확인 등이 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
무효둥확인소송에 대해 알려줘
### Response:
무효등확인소송은 행정청의 처분 등의 효력유무와 존재여부를 확인 하는 소송입니다 예시로는 토지소유권부존재확인, 재개발사업인가무효확인 등이 있습니다."
부작위위법확인소송에 대해 알려줘,,행정청이 당사자의 신청에 대하여 아무런 응답을 하지 않을 때 그 행위가 위법하다는 확인을 구하는 소송입니다,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
부작위위법확인소송에 대해 알려줘
### Response:
행정청이 당사자의 신청에 대하여 아무런 응답을 하지 않을 때 그 행위가 위법하다는 확인을 구하는 소송입니다"
민사소송에 대해 알려줘,,민사소송은 사법상의 권리 또는 법률관계에 대한 다툼을 해결하기 위한 소송절차입니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
민사소송에 대해 알려줘
### Response:
민사소송은 사법상의 권리 또는 법률관계에 대한 다툼을 해결하기 위한 소송절차입니다."
민사소송에 사건구분이 어떻게 되는지 알려줘,,"민사소송에서 사건구분은 사건구분  가소, 가단, 가합(1심), 나(항소심), 다(상고심) 으로 나뉩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
민사소송에 사건구분이 어떻게 되는지 알려줘
### Response:
민사소송에서 사건구분은 사건구분  가소, 가단, 가합(1심), 나(항소심), 다(상고심) 으로 나뉩니다."
"가소, 가단, 가합이 뭔지 알려줘",,"가소(소액사건)는 소가액이 3,000만원 이하인 소송입니다.(시군법원, 지방법원), 가단(단독사건)은 소가액이 2억원 이하인 소송입니다. 또한 판사는 1명입니다. 
가합(합의사건) = 소가액이 2억원을 초과하는 사건입니다. 또한 판사는 3명입니다","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
가소, 가단, 가합이 뭔지 알려줘
### Response:
가소(소액사건)는 소가액이 3,000만원 이하인 소송입니다.(시군법원, 지방법원), 가단(단독사건)은 소가액이 2억원 이하인 소송입니다. 또한 판사는 1명입니다. 
가합(합의사건) = 소가액이 2억원을 초과하는 사건입니다. 또한 판사는 3명입니다"
국가소송에 대해 알려줘,,국가를 당사자 또는 참가인으로 하는 소송으로 행정소송 및 민사소송을 포괄하는 개념입니다,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
국가소송에 대해 알려줘
### Response:
국가를 당사자 또는 참가인으로 하는 소송으로 행정소송 및 민사소송을 포괄하는 개념입니다"
행정소송에서 토지에 대한 관할에 대해 알려줘,,"제1심의 관할법원은 피고의 소재지를 관할하는 행정법원입니다. 만약  중앙행정기관 또는 그의 장이 피고인 경우는 대법원소재지의 행정
법원의 관할입니다. 행정법원이 설치되지 않은 지역은 현재 지방법원 본원 합의부가 관할합니다. 우리 區는 대전지방법원 해당됩니다","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
행정소송에서 토지에 대한 관할에 대해 알려줘
### Response:
제1심의 관할법원은 피고의 소재지를 관할하는 행정법원입니다. 만약  중앙행정기관 또는 그의 장이 피고인 경우는 대법원소재지의 행정
법원의 관할입니다. 행정법원이 설치되지 않은 지역은 현재 지방법원 본원 합의부가 관할합니다. 우리 區는 대전지방법원 해당됩니다"
행정소송의 관할은 어떻게 결정되나요,,행정소송의 관할은 제1심의 경우에는 피고의 소재지를 관할하는 행정법원이 결정됩니다. 중앙행정기관 또는 그의 장이 피고인 경우에는 대법원 소재지의 행정법원이 관할합니다. 행정법원이 설치되지 않은 지역은 지방법원 본원 합의부가 관할하게 됩니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
행정소송의 관할은 어떻게 결정되나요
### Response:
행정소송의 관할은 제1심의 경우에는 피고의 소재지를 관할하는 행정법원이 결정됩니다. 중앙행정기관 또는 그의 장이 피고인 경우에는 대법원 소재지의 행정법원이 관할합니다. 행정법원이 설치되지 않은 지역은 지방법원 본원 합의부가 관할하게 됩니다."
민사소송의 사물관할은 어떻게 이루어지나요,,"민사소송의 관할은 원칙적으로 피고의 주소지를 관할하는 법원이 결정됩니다. 그러나 의무이행지, 불법행위지, 부동산 소재지, 변론관할 등의 특정한 상황에 따라 관할 법원이 달라질 수 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
민사소송의 사물관할은 어떻게 이루어지나요
### Response:
민사소송의 관할은 원칙적으로 피고의 주소지를 관할하는 법원이 결정됩니다. 그러나 의무이행지, 불법행위지, 부동산 소재지, 변론관할 등의 특정한 상황에 따라 관할 법원이 달라질 수 있습니다."
민사소송의 관할은 어떻게 결정되나요,,"민사소송의 관할은 원칙적으로 피고의 주소지를 관할하는 법원이 결정됩니다. 그러나 의무이행지, 불법행위지, 부동산 소재지, 변론관할 등의 특정한 상황에 따라 관할 법원이 달라질 수 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
민사소송의 관할은 어떻게 결정되나요
### Response:
민사소송의 관할은 원칙적으로 피고의 주소지를 관할하는 법원이 결정됩니다. 그러나 의무이행지, 불법행위지, 부동산 소재지, 변론관할 등의 특정한 상황에 따라 관할 법원이 달라질 수 있습니다."
각하가 뭐야,,"각하는 다양한 소송(민사·행정소송)에서 소송요건이 충족되지 않아서 소송이 종결되는 결정을 말합니다. 소송요건은 관할, 당사자능력, 소송능력, 제소기간 준수 등을 포함하며, 본안의 내용을 판단하지 않고 소송요건의 충족 여부만을 검토하여 결정합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
각하가 뭐야
### Response:
각하는 다양한 소송(민사·행정소송)에서 소송요건이 충족되지 않아서 소송이 종결되는 결정을 말합니다. 소송요건은 관할, 당사자능력, 소송능력, 제소기간 준수 등을 포함하며, 본안의 내용을 판단하지 않고 소송요건의 충족 여부만을 검토하여 결정합니다."
기각이 뭐야,,"기각은 원고가 제기한 소나 상소인의 청구가 타당하지 않다고 판단하여 거부하는 결정입니다. 다시 말해, 청구 내용이 타당하지 않아 해당 소송이나 상소를 무효로 처리하는 것을 의미합니다. 이때 이유 없음이라는 표현은 단순히 청구의 타당성이 없다는 뜻입니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
기각이 뭐야
### Response:
기각은 원고가 제기한 소나 상소인의 청구가 타당하지 않다고 판단하여 거부하는 결정입니다. 다시 말해, 청구 내용이 타당하지 않아 해당 소송이나 상소를 무효로 처리하는 것을 의미합니다. 이때 이유 없음이라는 표현은 단순히 청구의 타당성이 없다는 뜻입니다."
인용이 뭐야,,"인용은 원고가 제기한 주장이 이유가 있다고 인정되어 그 주장을 받아들이는 결정을 말합니다. 이 판결을 내릴 때는 주장의 내용에 따라 전부 인용할 수도 있고, 내용에 맞게 일부만 인용할 수도 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
인용이 뭐야
### Response:
인용은 원고가 제기한 주장이 이유가 있다고 인정되어 그 주장을 받아들이는 결정을 말합니다. 이 판결을 내릴 때는 주장의 내용에 따라 전부 인용할 수도 있고, 내용에 맞게 일부만 인용할 수도 있습니다."
속행이 뭐야,,"속행은 특정 기일에 재판을 진행한 후, 다음 기일을 지정하여 재판을 계속 진행하는 것을 의미합니다. ","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
속행이 뭐야
### Response:
속행은 특정 기일에 재판을 진행한 후, 다음 기일을 지정하여 재판을 계속 진행하는 것을 의미합니다. "
추정이 뭐야,,"추정은 다음 기일을 즉시 지정하지 않고, 나중에 따로 지정하여 통지하는 것을 말합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
추정이 뭐야
### Response:
추정은 다음 기일을 즉시 지정하지 않고, 나중에 따로 지정하여 통지하는 것을 말합니다."
종결이 뭐야,,종결은 변론을 종국적으로 종료하는 것 입니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
종결이 뭐야
### Response:
종결은 변론을 종국적으로 종료하는 것 입니다."
선고가 뭐야,,선고는 변론(기일)종결 후 소의 결론을 공표하는 것 입니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
선고가 뭐야
### Response:
선고는 변론(기일)종결 후 소의 결론을 공표하는 것 입니다."
확정이 뭐야,,확정은 상소기간이 지나 더 이상 불복신청이 불가능한 상태가 되어 소송이 최종적으로 종료되는 것을 의미합니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
확정이 뭐야
### Response:
확정은 상소기간이 지나 더 이상 불복신청이 불가능한 상태가 되어 소송이 최종적으로 종료되는 것을 의미합니다."
판결이 뭐야,,판결은 원고의 소제기로 법원에서 변론을 거친 뒤 내리는 재판 결정을 의미합니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
판결이 뭐야
### Response:
판결은 원고의 소제기로 법원에서 변론을 거친 뒤 내리는 재판 결정을 의미합니다."
결정이 뭐야,,"결정은 법원이 변론을 거치지 않고 내릴 수 있는 재판 결정으로, 이송결정, 증인신청결정 등이 여기에 해당합니다. ","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
결정이 뭐야
### Response:
결정은 법원이 변론을 거치지 않고 내릴 수 있는 재판 결정으로, 이송결정, 증인신청결정 등이 여기에 해당합니다. "
명령이 뭐야,,"명령은 판사가 특정한 이행을 명하는 것으로, 주소보정명령, 석명준비명령 등이 여기에 속합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
명령이 뭐야
### Response:
명령은 판사가 특정한 이행을 명하는 것으로, 주소보정명령, 석명준비명령 등이 여기에 속합니다."
항소가 뭐야,,항소는 제1심 법원의 판결에 대하여 유리한 판결을 얻기 위해 제2심 법원에 제출하는 불복신청을 말합니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
항소가 뭐야
### Response:
항소는 제1심 법원의 판결에 대하여 유리한 판결을 얻기 위해 제2심 법원에 제출하는 불복신청을 말합니다."
상고가 뭐야,,상고는 제2심 법원의 판결에 대하여 대법원에 제기하는 불복신청입니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
상고가 뭐야
### Response:
상고는 제2심 법원의 판결에 대하여 대법원에 제기하는 불복신청입니다."
항고가 워야,, 항고는 판결이 아닌 결정이나 명령에 대한 불복신청입니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
항고가 워야
### Response:
 항고는 판결이 아닌 결정이나 명령에 대한 불복신청입니다."
상소가 뭐야,,"상소는 항소, 상고, 항고 등 상급법원에 대한 불복신청을 통칭하는 말입니다. ","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
상소가 뭐야
### Response:
상소는 항소, 상고, 항고 등 상급법원에 대한 불복신청을 통칭하는 말입니다. "
압류가 뭐야,,"압류는 집행권원(판결, 근저당권 등)을 통해 금전채권을 보전하기 위해 채무자의 특정 재산에 대한 처분권을 제한하는 강제집행 절차입니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
압류가 뭐야
### Response:
압류는 집행권원(판결, 근저당권 등)을 통해 금전채권을 보전하기 위해 채무자의 특정 재산에 대한 처분권을 제한하는 강제집행 절차입니다."
민사/행정법원에서의 항소 기한은 어떻게 되나요,,민사/행정법원에서는 판결문을 송달받은 후 2주일 이내에 항소장을 제출해야 합니다. 이 기한을 지키는 것이 중요합니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
민사/행정법원에서의 항소 기한은 어떻게 되나요
### Response:
민사/행정법원에서는 판결문을 송달받은 후 2주일 이내에 항소장을 제출해야 합니다. 이 기한을 지키는 것이 중요합니다."
가처분이 뭐야,,"가처분은 특정한 물건이나 권리의 청구권을 보전하기 위해 다툼의 대상을 동결시키는 강제집행 절차를 의미합니다. 예를 들어 부동산처분금지가처분, 공사방해금지가처분 등이 이에 속합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
가처분이 뭐야
### Response:
가처분은 특정한 물건이나 권리의 청구권을 보전하기 위해 다툼의 대상을 동결시키는 강제집행 절차를 의미합니다. 예를 들어 부동산처분금지가처분, 공사방해금지가처분 등이 이에 속합니다."
소송수행자가 뭐야,,행정소송을 직접 수행하도록 지정받은 공무원입니다. 소송수행자들은 모든 재판상 행위를 할 수 있습니다. ,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소송수행자가 뭐야
### Response:
행정소송을 직접 수행하도록 지정받은 공무원입니다. 소송수행자들은 모든 재판상 행위를 할 수 있습니다. "
소송대리인이 뭐야,,"소송대리인은 행정소송 및 민사소송에서 권한을 일체 위임받은 변호사이거나, 민사소송에서 법원의 허가를 받은 공무원을 지칭합니다. 다만, 1심이 진행 중이며 소가액이 1억원 이하인 경우에만 공무원이 소송대리인으로 활동할 수 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소송대리인이 뭐야
### Response:
소송대리인은 행정소송 및 민사소송에서 권한을 일체 위임받은 변호사이거나, 민사소송에서 법원의 허가를 받은 공무원을 지칭합니다. 다만, 1심이 진행 중이며 소가액이 1억원 이하인 경우에만 공무원이 소송대리인으로 활동할 수 있습니다."
소송담당자가 뭐야,,소송담당자는 변호사가 소송대리인인 경우 그를 도와 업무를 처리하도록 지명된 공무원을 의미합니다. 이는 행정소송과 민사소송 양쪽 모두에서 사용됩니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소송담당자가 뭐야
### Response:
소송담당자는 변호사가 소송대리인인 경우 그를 도와 업무를 처리하도록 지명된 공무원을 의미합니다. 이는 행정소송과 민사소송 양쪽 모두에서 사용됩니다."
"전자소송 사이트란 무엇이며, 어떤 기능을 제공하나요",,전자소송 사이트(http://ecfs.scourt.go.kr/ecf/index.jsp)는 법원과 상대방 간에 서면을 온라인으로 주고받을 수 있는 플랫폼입니다. 이 사이트를 통해 나의 사건검색 기능을 통해 사건 개요와 진행 상황을 간편하게 확인할 수 있습니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
전자소송 사이트란 무엇이며, 어떤 기능을 제공하나요
### Response:
전자소송 사이트(http://ecfs.scourt.go.kr/ecf/index.jsp)는 법원과 상대방 간에 서면을 온라인으로 주고받을 수 있는 플랫폼입니다. 이 사이트를 통해 나의 사건검색 기능을 통해 사건 개요와 진행 상황을 간편하게 확인할 수 있습니다."
가압류가 뭐야,,"가압류는 금전채권을 보전하기 위해 채무자의 특정 재산에 대한 처분권을 잠정적으로 제한하는 강제집행 절차를 나타냅니다. 이때 예를 들어 부동산가압류, 채권(예금)가압류, 동산가압류 등이 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
가압류가 뭐야
### Response:
가압류는 금전채권을 보전하기 위해 채무자의 특정 재산에 대한 처분권을 잠정적으로 제한하는 강제집행 절차를 나타냅니다. 이때 예를 들어 부동산가압류, 채권(예금)가압류, 동산가압류 등이 있습니다."
법원으로부터의 소장송달에 대해 알려줘,,전자소송이면 메일 혹은 휴대전화 메시지로 전자발송사실이 통보되며(전자소송시스템에서 확인가능) 우편으로도 송달되기도 함 비전자소송이면 소장부본이 區에 송달됩니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
법원으로부터의 소장송달에 대해 알려줘
### Response:
전자소송이면 메일 혹은 휴대전화 메시지로 전자발송사실이 통보되며(전자소송시스템에서 확인가능) 우편으로도 송달되기도 함 비전자소송이면 소장부본이 區에 송달됩니다."
소송부서에 소장접수 통지에 대해 알려줘,,"소장이 송달되면, 기획실장은 소송사건과 관련 있는 부서로 소송업무를 배정하고, 소장과 송무용전을 통지합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소송부서에 소장접수 통지에 대해 알려줘
### Response:
소장이 송달되면, 기획실장은 소송사건과 관련 있는 부서로 소송업무를 배정하고, 소장과 송무용전을 통지합니다."
소송수행자 지정 또는 변호사 선임 요청에 대해 알려줘,,"소송접수를 통지받은 소송부서는 송무용전에 따라 소송수행을 담당할 소송수행자 또는 소송대리인을 내부적으로 결정하는 등 소송수행방침을 수립하고, 기획실에 소송수행자지정을 요청하여야 합니다.소송물가액에 비하여 이해관계가 크다고 판단되는 사건, 처분법규 등의 종합적 해석 또는 적용에 고도의 법률적 전문 지식을 필요로 하는 사건, 패소하는 경우 행정의 신뢰확보가 어려우며 통상의 행정관행에 어긋
나는 새로운 관행이 형성될 수 있다고 인정되는 사건 등에 해당한다면,사전에 기획실장과 협의 후 그 이유를 기재하여 변호사 선임을 요청을 할 수 있습니다","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소송수행자 지정 또는 변호사 선임 요청에 대해 알려줘
### Response:
소송접수를 통지받은 소송부서는 송무용전에 따라 소송수행을 담당할 소송수행자 또는 소송대리인을 내부적으로 결정하는 등 소송수행방침을 수립하고, 기획실에 소송수행자지정을 요청하여야 합니다.소송물가액에 비하여 이해관계가 크다고 판단되는 사건, 처분법규 등의 종합적 해석 또는 적용에 고도의 법률적 전문 지식을 필요로 하는 사건, 패소하는 경우 행정의 신뢰확보가 어려우며 통상의 행정관행에 어긋
나는 새로운 관행이 형성될 수 있다고 인정되는 사건 등에 해당한다면,사전에 기획실장과 협의 후 그 이유를 기재하여 변호사 선임을 요청을 할 수 있습니다"
소송수행자 지정 또는 변호사 선임 통보에 대해 알려줘,," 기획실장은 소송부서의 요청에 따라 소송수행자(소송대리인)을 지정하여 소관부서에 통보해야합니다. 이렇게 통보시, ‘소송수행자 지정서(소송대리허가신청 및 소송위임장)’를 교부하여야 하며, 교부받은 소송수행는 이를 법원에 제출해야합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소송수행자 지정 또는 변호사 선임 통보에 대해 알려줘
### Response:
 기획실장은 소송부서의 요청에 따라 소송수행자(소송대리인)을 지정하여 소관부서에 통보해야합니다. 이렇게 통보시, ‘소송수행자 지정서(소송대리허가신청 및 소송위임장)’를 교부하여야 하며, 교부받은 소송수행는 이를 법원에 제출해야합니다."
소송수행자 변경시 해임 및 새로운 지정에 대해 알려줘,,"인사발령, 의원면직 등으로 인한 소송수행자가 변경된 사유가 발생한 경우, 소송부서(주관부서)에서는 기획실에 변경지정 요청을 하면, 기획
실장은 새로 지정될 소송수행자에 대하여 지정서를 교부해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소송수행자 변경시 해임 및 새로운 지정에 대해 알려줘
### Response:
인사발령, 의원면직 등으로 인한 소송수행자가 변경된 사유가 발생한 경우, 소송부서(주관부서)에서는 기획실에 변경지정 요청을 하면, 기획
실장은 새로 지정될 소송수행자에 대하여 지정서를 교부해야 합니다."
소송지휘 관할에 대해 알려줘,,기존 각 지방검찰청에서 수행하는 행정소송지휘가 국가소송법령 개정에 따라 2020.12.28.부터 법무부 지휘로 변경되었습니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소송지휘 관할에 대해 알려줘
### Response:
기존 각 지방검찰청에서 수행하는 행정소송지휘가 국가소송법령 개정에 따라 2020.12.28.부터 법무부 지휘로 변경되었습니다."
소송절차 흐름도에 대해 알려줘,,"소송절차 흐름은 1.소 제기 2.법원으로부터 소장부본 접수 3.답변서 제출 4.변론준비절차 5.변론기일  6.변론종결 7.선고 8.항소 9.항소이유서 
또는 그에 대한 답변서 제출로 진행됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소송절차 흐름도에 대해 알려줘
### Response:
소송절차 흐름은 1.소 제기 2.법원으로부터 소장부본 접수 3.답변서 제출 4.변론준비절차 5.변론기일  6.변론종결 7.선고 8.항소 9.항소이유서 
또는 그에 대한 답변서 제출로 진행됩니다."
소장(소제기)에 대해 알려줘,,소장(소제기)은 권리관계의 이행이나 확인 등을 법원에 구하는 소송 절차를 말합니다,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소장(소제기)에 대해 알려줘
### Response:
소장(소제기)은 권리관계의 이행이나 확인 등을 법원에 구하는 소송 절차를 말합니다"
소장작성방법에 대해 알려줘,,소장 작성은 청구취지 및 청구원인을 명확히 구성하여 작성하는 것입니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소장작성방법에 대해 알려줘
### Response:
소장 작성은 청구취지 및 청구원인을 명확히 구성하여 작성하는 것입니다."
답변서작성 방법에 대해알려줘,,청구취지에 대한 답변 및 청구원인에 대한 답변으로 구성하여 작성하면 됩니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
답변서작성 방법에 대해알려줘
### Response:
청구취지에 대한 답변 및 청구원인에 대한 답변으로 구성하여 작성하면 됩니다."
답변서 제출시기에 대해 알려줘,,청구취지에 대한 답변 및 청구원인에 대한 답변으로 구성하여 작성하면 됩니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
답변서 제출시기에 대해 알려줘
### Response:
청구취지에 대한 답변 및 청구원인에 대한 답변으로 구성하여 작성하면 됩니다."
답변서에 제출부수를 알려줘,,"답변서는 원본과 상대방 수만큼의 부본을 제출해야 합니다. 단, 전자소송 제출 시에는 '제출부수' 규정이 미적용됩니다..","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
답변서에 제출부수를 알려줘
### Response:
답변서는 원본과 상대방 수만큼의 부본을 제출해야 합니다. 단, 전자소송 제출 시에는 '제출부수' 규정이 미적용됩니다.."
답변서를 미제출하면 어떤 상황이 발생하나요?,," 피고가 답변서 제출기간 이내에 답변서를 제출하지 아니하는 경우,
법원은 피고가 원고의 소장에서 주장한 사실을 자백한 것으로 보아 
변론 없이 곧바로 선고기일을 지정하여 판결을 선고합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
답변서를 미제출하면 어떤 상황이 발생하나요?
### Response:
 피고가 답변서 제출기간 이내에 답변서를 제출하지 아니하는 경우,
법원은 피고가 원고의 소장에서 주장한 사실을 자백한 것으로 보아 
변론 없이 곧바로 선고기일을 지정하여 판결을 선고합니다."
준비서면작성방법에 대해 알려줘,,자유로운 형식으로 작성하여도 무방합니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
준비서면작성방법에 대해 알려줘
### Response:
자유로운 형식으로 작성하여도 무방합니다."
준비서면을 언제 제출해야 되는지 알려줘,,변론기일 전까지제출하면 됩니다. 하지만 가급적 일주일 전까지 제출하는 것이 좋습니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
준비서면을 언제 제출해야 되는지 알려줘
### Response:
변론기일 전까지제출하면 됩니다. 하지만 가급적 일주일 전까지 제출하는 것이 좋습니다."
주장책임에 대해 알려줘,,"당사자가 특정사실에 대해 주장하지 아니하면 입는 불이익입니다. 예시로는  금전채권에 대한 변제 주장, 소멸시효 주장 등이 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
주장책임에 대해 알려줘
### Response:
당사자가 특정사실에 대해 주장하지 아니하면 입는 불이익입니다. 예시로는  금전채권에 대한 변제 주장, 소멸시효 주장 등이 있습니다."
입증책임이란 무엇인가요,,"입증책임은 주장한 내용을 증명할 책임을 말합니다. 논쟁이나 논의 상황에서 어느 쪽이 특정 주장을 제기하면, 그 주장의 진위를 입증하기 위한 책임을 가지게 됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
입증책임이란 무엇인가요
### Response:
입증책임은 주장한 내용을 증명할 책임을 말합니다. 논쟁이나 논의 상황에서 어느 쪽이 특정 주장을 제기하면, 그 주장의 진위를 입증하기 위한 책임을 가지게 됩니다."
부인이란 무엇인가요,,"부인은 상대방이 제기한 요건사실을 부정하는 것을 말합니다. 다시 말해, 상대방이 제시한 사실이나 주장에 대해 그것이 사실이 아니라고 주장하는 것입니다. 이 경우에는 주장자가 그 주장의 진위를 입증해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
부인이란 무엇인가요
### Response:
부인은 상대방이 제기한 요건사실을 부정하는 것을 말합니다. 다시 말해, 상대방이 제시한 사실이나 주장에 대해 그것이 사실이 아니라고 주장하는 것입니다. 이 경우에는 주장자가 그 주장의 진위를 입증해야 합니다."
